external_input,usage,shipment_status,source,generation,sha256_or_note
GSE309037_raw_counts.csv.gz,DESeq2 stage input (scripts/08_b2_deseq2.py),NOT BUNDLED (public download),GEO GSE309037 series supplementary - author-processed count matrix,"download https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309037/suppl/GSE309037_raw_counts.csv.gz ; gzip CSV, sep="";"", index_col=0, no decompression or conversion step",sha256 598c95060c49de1e0e5667cdcf2ecb9561fbc9fe08d7101bffb84595e8173bb0 ; sha256 verified 2026-09-10 by tools/fetch_geo_supplementary.py --check-project --parse
GSE309038_raw_counts.csv.gz,DESeq2 stage input (scripts/12_b3_deseq2.py),NOT BUNDLED (public download),GEO GSE309038 series supplementary - author-processed count matrix,"download https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309038/suppl/GSE309038_raw_counts.csv.gz ; gzip CSV, sep="";"", index_col=0, no decompression or conversion step",sha256 b943820976ab1954fa58235be94b7ee3505d89b9da0966320d3e1ac0cc9e4103 ; sha256 verified 2026-09-10 by tools/fetch_geo_supplementary.py --check-project --parse
GSE309039_data1_raw_counts.csv.gz,DESeq2 stage input (scripts/02_b1_deseq2.py),NOT BUNDLED (public download),GEO GSE309039 series supplementary - author-processed count matrix,"download https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309039/suppl/GSE309039_data1_raw_counts.csv.gz ; gzip CSV, sep="";"", index_col=0, no decompression or conversion step",sha256 b94cffe93670ff1bafd742139005763aae705f27d1c7336d3f938c92d782929e ; sha256 verified 2026-09-10 by tools/fetch_geo_supplementary.py --check-project --parse
GSE309039_data2_raw_counts.csv.gz,DESeq2 stage input (scripts/02_b1_deseq2.py),NOT BUNDLED (public download),GEO GSE309039 series supplementary - author-processed count matrix,"download https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309039/suppl/GSE309039_data2_raw_counts.csv.gz ; gzip CSV, sep="";"", index_col=0, no decompression or conversion step",sha256 08aae847c8e98e14fc6dacb9a0c51f40d0830c6b4580f7f2740589c60ff6c5ef ; sha256 verified 2026-09-10 by tools/fetch_geo_supplementary.py --check-project --parse
GSM4972211 matrix.csv.gz / annot.csv.gz,"GSE163120 external scRNA (b5_m7_scRNA_patient, b6_m4, b6_m5, b6_m6, b7_01)",NOT BUNDLED (public download ~41 MB),GEO GSE163120 supplemental (GSM4972211),download both GSM4972211 supplemental files; URLs and reader settings in INPUT_REPRODUCIBILITY_AUDIT_v3.md,-
GSE182109_RAW.tar (44 GSM 10x runs),"C3.1 h5ad + B6 module 8 (a3_rebuild_fulltranscriptome.py, b6_m8_load_ndgbm.py)",NOT BUNDLED (public download ~2.4 GB),GEO GSE182109,download GSE182109_RAW.tar and extract per-GSM matrix dirs; extraction rules in INPUT_REPRODUCIBILITY_AUDIT_v3.md,-
MSigDB gene sets (hallmark_sets.json),"b5_m5_enrichment.py, b7_02b_decomposition.py, b7_scoring.py",NOT BUNDLED (public resource),MSigDB (Broad Institute),fetched by the enrichment/scoring scripts at run time,-
Ensembl REST gene lengths (gene_lengths_cache.json),b6_fetch_gene_lengths.py,NOT BUNDLED (public resource),Ensembl REST API,fetched by the script at run time into temp/,-
b6_bg_genes_annotated.csv,permutation background gene table,GENERATED_INTERMEDIATE,scripts/b6_prep_permutation_data.py,reads output/B2 dds.pkl + output/B1/B2 tables,12acfc9612e3c1f1c6bfe6a27eebf82089cf55b43c98965eeca403be57ae0e9e
gse163120_tam_expr.pkl,B7 module 5/6 + C2 patient paired,GENERATED_INTERMEDIATE,scripts/b7_01_prep_data.py,reads GSM4972211 matrix/annot + output/B4/B4b_ISG_core_set.csv,512dd770dc22fbad91a3953325fe5956633e9f4cb18ab1c84052328a959bc538
gse163120_tam_annot.csv,B7 module 5/6 + C2 patient paired,GENERATED_INTERMEDIATE,scripts/b7_01_prep_data.py,same inputs as gse163120_tam_expr.pkl,76dfaebad953a4f18eaaf1d2edf9e29483c2c638fac996f7d6a12aaf4f58f90b
gse182109_myeloid_expr.pkl,B7 module 5/6 + C2 patient paired,GENERATED_INTERMEDIATE,scripts/b7_01_prep_data.py,reads temp/GSE182109/ndGBM_interest_expr.npy (b6_m8_load_ndgbm) + output/B6/GSE182109_myeloid_annot.csv,dd5275df7608171ed20b615768d5280d77b386a616494701d8407b02d3a34309
gse182109_myeloid_annot.csv,B7 module 5/6 + C2 patient paired,GENERATED_INTERMEDIATE,scripts/b7_01_prep_data.py,copied from output/B6/GSE182109_myeloid_annot.csv (b6_m8_analysis_v2),3786446b229e29fa15b349782897c0d98d49d1a34d85606a9e79f57726a7a877
patient_paired_GSE163120.csv,C2 figure source data,GENERATED_INTERMEDIATE,scripts/prep_patient_paired.py,reads B7 intermediates + core68_reannotation + hallmark_sets.json,a77d6e501ac9bdf8f43a548d25165077bcb20ef4c46a0e239c9ed67e32216e4b
